Model,Class,Sign,Precision (%),Recall (%),F1 (%),AUC-ROC
Ensemble (Soft Voting),25,Road work,98.96,99.58,99.27,1.0
Ensemble (Soft Voting),26,Traffic signals,99.45,100.0,99.72,1.0
Ensemble (Soft Voting),27,Pedestrians,98.36,100.0,99.17,1.0
Ensemble (Soft Voting),28,Children crossing,100.0,99.33,99.67,1.0
Ensemble (Soft Voting),29,Bicycles crossing,98.9,100.0,99.45,1.0
Ensemble (Soft Voting),3,Speed limit (60km/h),100.0,98.44,99.22,1.0
Ensemble (Soft Voting),30,Beware of ice/snow,92.26,95.33,93.77,0.9999
Ensemble (Soft Voting),31,Wild animals crossing,99.63,99.63,99.63,1.0
Ensemble (Soft Voting),32,End speed + passing limits,100.0,100.0,100.0,1.0
Ensemble (Soft Voting),33,Turn right ahead,100.0,100.0,100.0,1.0
Ensemble (Soft Voting),34,Turn left ahead,99.17,100.0,99.59,1.0
Ensemble (Soft Voting),35,Ahead only,100.0,100.0,100.0,1.0
Ensemble (Soft Voting),36,Go straight or right,99.17,100.0,99.59,1.0
Ensemble (Soft Voting),37,Go straight or left,100.0,100.0,100.0,1.0
Ensemble (Soft Voting),38,Keep right,100.0,100.0,100.0,1.0
Ensemble (Soft Voting),39,Keep left,100.0,100.0,100.0,1.0
Ensemble (Soft Voting),4,Speed limit (70km/h),100.0,98.94,99.47,1.0
Ensemble (Soft Voting),40,Roundabout mandatory,100.0,96.67,98.31,1.0
Ensemble (Soft Voting),41,End of no passing,95.24,100.0,97.56,1.0
Ensemble (Soft Voting),42,End no passing (>3.5t),97.75,96.67,97.21,1.0
Ensemble (Soft Voting),5,Speed limit (80km/h),98.75,100.0,99.37,1.0
Ensemble (Soft Voting),6,End of 80km/h limit,100.0,94.0,96.91,1.0
Ensemble (Soft Voting),7,Speed limit (100km/h),100.0,99.78,99.89,1.0
Ensemble (Soft Voting),8,Speed limit (120km/h),99.78,100.0,99.89,1.0
Ensemble (Soft Voting),9,No passing,100.0,99.79,99.9,1.0
